table_name,exact_rows,family,migratory_utility,pii_risk,confidence,notes
wp_fc_lists,2,fluentcrm,M1_import,no,high,
wp_fc_meta,12,fluentcrm,M2_support,possible,high,
wp_fc_sequence_tracker,33,fluentcrm,M2_archive,yes,high,
wp_fc_subscribers,33,fluentcrm,M1_import_match_users,yes,high,
wp_fc_subscriber_meta,45,fluentcrm,M1_selective,yes,high,
wp_fc_subscriber_notes,0,fluentcrm,M3_empty,yes,high,
wp_fc_subscriber_pivot,132,fluentcrm,M1_relations,yes,high,
wp_fc_tags,10,fluentcrm,M1_import,no,high,
wp_fc_terms,0,fluentcrm,M3_empty,no,high,
wp_fc_term_relations,0,fluentcrm,M3_empty,no,high,
wp_fc_url_stores,4,fluentcrm,M3_optional,no,high,
wp_ff_scheduled_actions,0,fluentforms,M3_empty,no,high,
wp_fluentform_draft_submissions,0,fluentforms,M3_empty,yes,high,
wp_fluentform_entry_details,0,fluentforms,M3_empty,yes,high,
wp_fluentform_forms,7,fluentforms,M1_definitions,no,high,field schemas
wp_fluentform_form_analytics,0,fluentforms,M3_empty,no,high,
wp_fluentform_form_meta,57,fluentforms,M2_config,no,high,
wp_fluentform_logs,0,fluentforms,M3_empty,no,high,
wp_fluentform_order_items,0,fluentforms,M3_empty,no,high,
wp_fluentform_submissions,0,fluentforms,M3_empty,yes,high,no entries
wp_fluentform_submission_meta,0,fluentforms,M3_empty,yes,high,
wp_fluentform_subscriptions,0,fluentforms,M3_empty,no,high,
wp_fluentform_transactions,0,fluentforms,M3_empty,possible,high,
wp_fsmpt_email_logs,0,fluent_smtp,M3_empty,possible,high,
wp_links,0,wp_core,M3_legacy,no,high,
wp_litespeed_url,0,litespeed,M3_cache,no,high,
wp_litespeed_url_file,0,litespeed,M3_cache,no,high,
wp_options,689,wp_core,M1_filtered,secrets_possible,high,filter secrets
wp_postmeta,7485,wp_core,M1_content_meta,variable,high,
wp_posts,1087,wp_core,M1_content,content,high,includes 853 revisions
wp_rank_math_404_logs,58,rank_math,M3_logs,no,high,
wp_rank_math_internal_links,1425,rank_math,M2_seo_graph,no,high,
wp_rank_math_internal_meta,148,rank_math,M2_seo,no,high,
wp_rank_math_link_genius_audit,2129,rank_math,M3_audit,no,high,
wp_rank_math_link_genius_history,0,rank_math,M3_empty,no,high,
wp_rank_math_link_genius_maps,0,rank_math,M3_empty,no,high,
wp_rank_math_link_genius_map_variations,0,rank_math,M3_empty,no,high,
wp_rank_math_link_genius_snapshots,0,rank_math,M3_empty,no,high,
wp_rank_math_redirections,3,rank_math,M2_redirects_wm8,no,high,
wp_rank_math_redirections_cache,3,rank_math,M2_redirects,no,high,
wp_snippets,41,code_snippets,M2_review,code,high,security review
wp_termmeta,0,wp_core,M3_empty,no,high,
wp_terms,3,wp_core,M2_low,no,high,almost empty taxonomy
wp_term_relationships,2,wp_core,M2_low,no,high,
wp_term_taxonomy,3,wp_core,M2_low,no,high,
wp_tutor_carts,0,tutor,M3_empty_schema,no,high,schema only
wp_tutor_cart_items,0,tutor,M3_empty_schema,no,high,
wp_tutor_coupons,0,tutor,M3_empty_schema,no,high,
wp_tutor_coupon_applications,0,tutor,M3_empty_schema,no,high,
wp_tutor_coupon_usages,0,tutor,M3_empty_schema,no,high,
wp_tutor_customers,0,tutor,M3_empty_schema,no,high,
wp_tutor_earnings,0,tutor,M3_empty_schema,no,high,
wp_tutor_notification_preferences,0,tutor,M3_empty_schema,no,high,
wp_tutor_ordermeta,0,tutor,M3_empty_schema,no,high,
wp_tutor_orders,0,tutor,M3_empty_schema,no,high,
wp_tutor_order_itemmeta,0,tutor,M3_empty_schema,no,high,
wp_tutor_order_items,0,tutor,M3_empty_schema,no,high,
wp_tutor_quiz_attempts,0,tutor,M3_empty_schema,no,high,
wp_tutor_quiz_attempt_answers,0,tutor,M3_empty_schema,yes,high,
wp_tutor_quiz_questions,0,tutor,M3_empty_schema,no,high,
wp_tutor_quiz_question_answers,0,tutor,M3_empty_schema,no,high,
wp_tutor_withdraws,0,tutor,M3_empty_schema,no,high,
wp_um_metadata,0,ultimate_member,M3_empty,yes,high,
wp_usermeta,773,wp_core,M1_profiles,yes,high,
wp_users,35,wp_core,M1_accounts,yes,high,no password migration
wp_wfauditevents,0,wordfence,M3_security_logs,possible,high,
wp_wfblockediplog,152,wordfence,M3_security_logs,ip_possible,high,
wp_wfblocks7,0,wordfence,M3_security,no,high,
wp_wfconfig,286,wordfence,M3_config,secrets_possible,high,
wp_wfcrawlers,6,wordfence,M3_logs,no,high,
wp_wffilechanges,0,wordfence,M3_logs,no,high,
wp_wffilemods,21180,wordfence,M3_abandon,no,high,
wp_wfhits,1795,wordfence,M3_logs,ip_possible,high,
wp_wfhoover,0,wordfence,M3_logs,no,high,
wp_wfissues,7,wordfence,M3_logs,no,high,
wp_wfknownfilelist,21181,wordfence,M3_abandon,no,high,
wp_wflivetraffichuman,0,wordfence,M3_logs,no,high,
wp_wflocs,0,wordfence,M3_logs,no,high,
wp_wflogins,264,wordfence,M3_logs,yes,high,
wp_wfls_2fa_secrets,0,wordfence,M3_secrets,yes,high,
wp_wfls_role_counts,0,wordfence,M3_empty,no,high,
wp_wfls_settings,34,wordfence,M3_config,no,high,
wp_wfnotifications,3,wordfence,M3_logs,no,high,
wp_wfpendingissues,0,wordfence,M3_empty,no,high,
wp_wfreversecache,0,wordfence,M3_empty,no,high,
wp_wfsecurityevents,0,wordfence,M3_empty,no,high,
wp_wfsnipcache,0,wordfence,M3_empty,no,high,
wp_wfstatus,919,wordfence,M3_logs,no,high,
wp_wftrafficrates,0,wordfence,M3_empty,no,high,
wp_wfwaffailures,0,wordfence,M3_empty,no,high,
